time="2026-09-14T18:55:08.088615507Z" level=debug msg="Registering route" method=POST path="/plugins/{name:.*}/enable"
time="2026-09-14T18:55:08.089117732Z" level=debug msg="Registering route" method=POST path="/plugins/{name:.*}/disable"
time="2026-09-14T18:55:08.089158072Z" level=debug msg="Registering route" method=POST path=/plugins/pull
time="2026-09-14T18:55:08.089181215Z" level=debug msg="Registering route" method=POST path="/plugins/{name:.*}/push"
time="2026-09-14T18:55:08.089211445Z" level=debug msg="Registering route" method=POST path="/plugins/{name:.*}/upgrade"
time="2026-09-14T18:55:08.089236897Z" level=debug msg="Registering route" method=POST path="/plugins/{name:.*}/set"
time="2026-09-14T18:55:08.089259343Z" level=debug msg="Registering route" method=POST path=/plugins/create
time="2026-09-14T18:55:08.089283594Z" level=debug msg="Registering route" method=GET path="/distribution/{name:.*}/json"
time="2026-09-14T18:55:08.089312613Z" level=debug msg="Registering route" method=GET path=/networks
time="2026-09-14T18:55:08.089330091Z" level=debug msg="Registering route" method=GET path=/networks/
time="2026-09-14T18:55:08.089348882Z" level=debug msg="Registering route" method=GET path="/networks/{id:.+}"
time="2026-09-14T18:55:08.089375073Z" level=debug msg="Registering route" method=POST path=/networks/create
time="2026-09-14T18:55:08.089394338Z" level=debug msg="Registering route" method=POST path="/networks/{id:.*}/connect"
time="2026-09-14T18:55:08.089424191Z" level=debug msg="Registering route" method=POST path="/networks/{id:.*}/disconnect"
time="2026-09-14T18:55:08.089452194Z" level=debug msg="Registering route" method=POST path=/networks/prune
time="2026-09-14T18:55:08.089476741Z" level=debug msg="Registering route" method=DELETE path="/networks/{id:.*}"
time="2026-09-14T18:55:08.089500086Z" level=debug msg="Registering route" method=GET path=/debug/vars
time="2026-09-14T18:55:08.089518737Z" level=debug msg="Registering route" method=GET path=/debug/pprof/
time="2026-09-14T18:55:08.089537930Z" level=debug msg="Registering route" method=GET path=/debug/pprof/cmdline
time="2026-09-14T18:55:08.089558628Z" level=debug msg="Registering route" method=GET path=/debug/pprof/profile
time="2026-09-14T18:55:08.089578699Z" level=debug msg="Registering route" method=GET path=/debug/pprof/symbol
time="2026-09-14T18:55:08.089606959Z" level=debug msg="Registering route" method=GET path=/debug/pprof/trace
time="2026-09-14T18:55:08.089626240Z" level=debug msg="Registering route" method=GET path="/debug/pprof/{name}"
time="2026-09-14T18:55:08.089649343Z" level=debug msg="Registering route" method=POST path=/grpc
time="2026-09-14T18:55:08.089747681Z" level=info msg="Daemon has completed initialization"
time="2026-09-14T18:55:08.089806058Z" level=info msg="API listen on /run/book1102-iso2.sock"
time="2026-09-14T18:55:08.090047548Z" level=debug msg="handling HEAD request" method=HEAD module=api request-url=/_ping vars="map[]"
time="2026-09-14T18:55:08.090400809Z" level=debug msg="handling GET request" method=GET module=api request-url=/v1.51/info vars="map[version:1.51]"
time="2026-09-14T18:55:09.374102831Z" level=debug msg="handling HEAD request" method=HEAD module=api request-url=/_ping vars="map[]"
time="2026-09-14T18:55:09.374394687Z" level=debug msg="handling POST request" method=POST module=api request-url="/v1.51/images/load?quiet=1" vars="map[version:1.51]"
time="2026-09-14T18:55:09.531740305Z" level=debug msg="Applying tar in /home/ubuntu/ai-infra-book-experiments/ch11/11-02/docker-lifecycle/isolated-daemon/attempt2/data/overlay2/bbfdd3e4b5a75761c0aebc697da625721df78646f5b1fdfa4809737b7fbd40da/diff" storage-driver=overlay2
time="2026-09-14T18:55:09.977228989Z" level=debug msg="Applied tar sha256:6f94328331290cbd81edab450664d42da7b64c191416c9346cd5d28c84f76035 to bbfdd3e4b5a75761c0aebc697da625721df78646f5b1fdfa4809737b7fbd40da, size: 78621580"
time="2026-09-14T18:55:10.006586456Z" level=debug msg="Applying tar in /home/ubuntu/ai-infra-book-experiments/ch11/11-02/docker-lifecycle/isolated-daemon/attempt2/data/overlay2/3a689c2175237a1c79668eac6d7ccfee445aefb0201f19976fc42e4c333776cf/diff" storage-driver=overlay2
time="2026-09-14T18:55:10.064064604Z" level=debug msg="Applied tar sha256:275f0a9e4758b8a31c628ab748d8184bd103fb27ec8aeff6b588003a3056d082 to 3a689c2175237a1c79668eac6d7ccfee445aefb0201f19976fc42e4c333776cf, size: 3811541"
time="2026-09-14T18:55:10.091590718Z" level=debug msg="Applying tar in /home/ubuntu/ai-infra-book-experiments/ch11/11-02/docker-lifecycle/isolated-daemon/attempt2/data/overlay2/ff5ef73b11911fabfb375072b6f0eb9f845fdcaa206bbf49c42d950a6debb8dc/diff" storage-driver=overlay2
